word,condition,duration_ms,rms_dbfs,vowel_onset_ms,voiced_onset_ms,onset_rms_dbfs,pitch_mean_hz,pitch_sd_hz
belf,CVCC,816.0,-20.0,0.8,160.5,-94.91,177.0,2.7
belk,CVCC,768.0,-20.0,4.2,161.5,-94.57,184.2,2.6
berp,CVCC,792.0,-20.0,0.0,181.0,-94.46,151.6,45.9
blef,CCVC,888.0,-20.0,4.2,161.5,-95.05,178.6,16.1
blek,CCVC,840.0,-20.0,2.5,167.5,-94.72,170.5,35.9
brep,CCVC,792.0,-20.0,0.0,171.0,-95.4,156.6,11.8
derf,CVCC,840.0,-20.0,2.5,177.5,-93.89,151.6,36.6
derp,CVCC,792.0,-20.0,0.0,176.0,-95.34,155.3,44.5
dref,CCVC,888.0,-20.0,4.2,181.5,-93.42,135.0,13.7
drep,CCVC,792.0,-20.0,0.0,186.0,-94.21,148.2,8.1
felp,CVCC,792.0,-20.0,0.0,206.0,-90.94,203.4,13.3
ferb,CVCC,840.0,-20.0,2.5,237.5,-90.28,192.9,16.3
ferv,CVCC,888.0,-20.0,4.2,236.5,-91.28,135.6,62.1
flep,CCVC,816.0,-20.0,0.8,230.5,-95.18,195.2,3.6
freb,CCVC,816.0,-20.0,0.8,235.5,-95.42,142.0,48.7
frev,CCVC,840.0,-20.0,2.5,222.5,-90.34,139.7,55.3
gelk,CVCC,768.0,-20.0,4.2,146.5,-88.23,169.3,54.2
gelm,CVCC,792.0,-20.0,0.0,206.0,-94.24,151.0,47.9
gerb,CVCC,840.0,-20.0,2.5,197.5,-84.9,161.9,35.8
gerf,CVCC,840.0,-20.0,2.5,197.5,-88.57,170.2,26.6
glek,CCVC,864.0,-20.0,3.3,172.0,-93.54,186.5,12.2
glem,CCVC,840.0,-20.0,2.5,167.5,-94.49,141.6,35.9
greb,CCVC,816.0,-20.0,0.8,185.5,-95.35,115.7,25.4
gref,CCVC,888.0,-20.0,4.2,176.5,-94.04,122.4,6.8
kelv,CVCC,792.0,-20.0,0.0,196.0,-94.46,206.9,4.4
kerv,CVCC,840.0,-20.0,2.5,207.5,-94.26,154.4,57.4
klev,CCVC,864.0,-20.0,3.3,202.0,-93.72,199.8,4.9
krev,CCVC,840.0,-20.0,2.5,217.5,-94.08,168.4,13.7
pelk,CVCC,792.0,-20.0,0.0,191.0,-95.4,201.4,5.3
pelv,CVCC,792.0,-20.0,0.0,196.0,-95.37,197.0,3.4
perb,CVCC,816.0,-20.0,0.8,200.5,-95.32,155.9,53.0
plek,CCVC,816.0,-20.0,0.8,,-94.43,nan,nan
plev,CCVC,816.0,-20.0,0.8,210.5,-95.23,198.7,1.2
preb,CCVC,768.0,-20.0,4.2,226.5,-95.33,136.7,37.5
selk,CVCC,840.0,-20.0,2.5,227.5,-85.96,218.1,2.4
selm,CVCC,816.0,-20.0,0.8,245.5,-94.7,147.5,50.8
slek,CCVC,888.0,-20.0,4.2,241.5,-94.04,175.2,48.1
slem,CCVC,864.0,-20.0,3.3,252.0,-94.97,170.6,13.8
terp,CVCC,792.0,-20.0,0.0,301.0,-95.55,118.0,1.5
trep,CCVC,816.0,-20.0,0.8,230.5,-95.11,194.0,3.4
